Model,Precision,Recall,F1 Score,MRR
TFIDF,0.10000000000000002,0.5,0.16666666666666666,0.5
BM25,0.06666666666666667,0.3333333333333333,0.11111111111111112,0.2222222222222222
TextSearchSBERT,0.16666666666666666,0.8333333333333334,0.27777777777777785,0.75
